date,month,title,language,type,platform_or_distributor,details,source,source_url
2026-06-12,June,Honeyjoon,English,Movie,Utopia,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-06-12,June,O Horizon,English,Movie,Variance Films,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-06-12,June,Stop! That! Train!,English,Movie,Bleecker Street / World of Wonder,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-06-12,June,This Tempting Madness,English,Movie,Vertical,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-06-12,June,Time of Death,English,Movie,Vertical,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-06-12,June,Bharat Bhhagya Viddhaata,Hindi,Movie,"Pen Studios, Manikarnika Films, Paramhans Creations, Eunoia Films, Floating Rocks Entertainment",,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-06-12,June,Governor,Hindi,Movie,Sunshine Pictures,,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-06-12,June,Haunted 3D: Echoes Of The Past,Hindi,Movie,"Anand Pandit Motion Pictures, Promoedge Media Pvt. Ltd",,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-06-12,June,Heer Sara,Hindi,Movie,"Maghaa Creations, Next Level Productions, Opticus Inc",,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-06-12,June,Main Vaapas Aaunga,Hindi,Movie,"Birla Studios, Applause Entertainment, Window Seat Films",,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-06-12,June,The Narmada Story,Hindi,Movie,"AB Infosoft Creation, Golden Ratio Films",,Wikipedia,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_2026
2026-06-12,June,Celebrity Wheel of Fortune,English,Show,Disney+/Hulu,"(Disney+/Hulu, special stand-alone season)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-12,June,Power Book III: Raising Kanan,English,Show,Starz,"(Starz, Season 5; final season)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-12,June,The Listeners,English,Show,Starz,"(Starz, Season 1 of British drama series)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-13,June,Connect with Jacob Soboroff,English,Show,MS Now,"(MS Now, new news show)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-13,June,My Adventures with Superman,English,Show,Adult Swim,"(Adult Swim, Season 3)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-14,June,Masterpiece: Grantchester,English,Show,PBS,"(PBS, Season 11; final season)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-14,June,Patience,English,Show,PBS,"(PBS, Season 2)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-14,June,The Ultimate Fighter,English,Show,Paramount+,"( Paramount+ , Season 34)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-15,June,Little Singles,English,Show,TLC,"(TLC, new docuseries)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-15,June,"Money, Power, Politics with Stephanie Ruhle",English,Show,MS Now,"(MS Now, new news show)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-15,June,On the Line with Alicia Menendez,English,Show,MS Now,"(MS Now, new news show)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-15,June,The 11th Hour with Ali Velshi,English,Show,MS Now,"(MS Now, retitled news and opinion show)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-15,June,The McBee Dynasty,English,Show,Bravo,"(Bravo, Season 3)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-15,June,The Moment with Katy Tur,English,Show,MS Now,"(MS Now, retitled news show)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-16,June,America’s Sweethearts: Dallas Cowboys Cheerleaders,English,Show,Netflix,"(Netflix, Season 3)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-16,June,Lakefront Bargain Hunt Renovation,English,Show,Magnolia,"(Magnolia, Season 6)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
